stars,date,review
4.0,2024-06-11,너무 재밌게 잘 봤습니다 뚝딱 읽었네요 재밌어서
4.0,2024-06-09,하루만에 다 읽은 책.. 강추합니다!!
4.0,2024-06-08,재미와 감동을 동시에...
4.0,2024-06-07,"배송받고 24시간도 안되서 다 읽었어요.
그냥 가벼운 마음으로 가볍게 읽는 책이라 생각하고 봤는데 다 읽고 나서 가벼운 마음은 아니네요. 열린 결말이라 그런가...ㅎ 
2권도 읽어보고 싶은데 리뷰가 1권에 비해 별로라고 하셔서 쫌 고민되네요.
웹툰도 나오는거 같던데 웹툰도 잘 챙겨보려고요."
4.0,2024-06-06,도움이 되서 잘읽었습니다
4.0,2024-06-05,힐링 그 자체입니다
4.0,2024-06-05,마음이 따뜻해져요^^
4.0,2024-06-04,공감되는 내용이에요.
4.0,2024-06-03,기분좋은 미소를 짓게 하는 책이네요^^ 덕분에 즐거운 날 되도록 열심히 잘 지내겠습니다^^
4.0,2024-06-02,재미있게 잘 읽었습니다.
4.0,2024-05-31,너무너무재밌어용~ 힐링ㄴㄴㄴ
4.0,2024-05-31,너무너무 재밌네용~힐링
4.0,2024-05-31,"우리딸이 재미있다고 추천한책~
딸에게 추천받고 6학년 친구에게 선물했어요~
아주 재미있게 읽었다고 합니디"
4.0,2024-05-28,웹툰도 나왔던데 이제서야 읽어보려합니다~~
4.0,2024-05-27,두번째 구매입니다 작가님 사인 받으러 부랴부랴 다시
4.0,2024-05-26,하루만에다읽을정도로 재밌어요
4.0,2024-05-25,표지도 예쁘고 후기도 많길래 구매해봤어요
4.0,2024-05-23,산해진미 도시락~~
4.0,2024-05-17,2권읽고있어요 재미있어요
4.0,2024-05-16,힐링받고싶을때마다  꺼낸 책이에요. 자기전 읽어서 제 하루의 마무리를 채워주는 책이었어요
4.0,2024-05-15,
4.0,2024-05-15,수행평가에많이도움돼요
4.0,2024-05-15,책 써주신 작가님 감사합니다.
4.0,2024-05-15,초등학교 4학년 아들도 읽고 재미있었다고 해요~~
3.0,2024-05-14,가슴 따뜻해지는 책
4.0,2024-05-14,재밌게 잘 읽었습니다.
3.0,2024-05-13,"불편한 편의점 그곳에서 누구나 불편한 인생의 두번내
째 열쇠를 찾아가는 공간 나도 삶에 방향키를 손에 잠시 쥔 느낌..2편 기대"
4.0,2024-05-10,재미나게 읽었어요 역시 많은 사람들이 보는 이유가 있네요
4.0,2024-05-09,힐링도 되고 재미와 슬픔 모든 느낌을 다 받을 수 있어서 좋았어요.
4.0,2024-05-07,한번에 다읽었네요 소설 오랜만인데 힐링되고 좋았어요
4.0,2024-05-07,주인공들의 서사가 기대되고 궁금해지는 따뜻한 책이었습니다
4.0,2024-05-07,주인공들의 서사를 잘풀어줘서 술술 읽히는 책이었습니다.  서사가 궁금해지는 책
4.0,2024-05-05,굿드~~~~~~~~~~~~~~
3.0,2024-05-03,오래간만에 읽어본 책인데 재미있어서 며칠안에 다 읽었네요. 주인공 독고씨가 궁금해서 읽다보니 우리 주변의 사람들이 궁금해지는 그런 책입니다. 잘읽었습니다.
4.0,2024-05-03,재미있게 잘 읽었습니다
4.0,2024-05-02,재미있게 잘 읽었습니다.
4.0,2024-04-30,"주변의 추천으로 읽게 되었는데, 읽으면서 힐링되고 마음이 포근해지는 느낌이다. 오랜만에 따뜻한 소설을 읽고 싶다면 추천한다."
4.0,2024-04-30,좋아요 좋아서 샀습니당
4.0,2024-04-30,"술술 읽혀서 좋앗어요
각자의 사연을 일으키는 사람들에게 주는 독고씨의 온풍이 참 따뜻했어요"
4.0,2024-04-27,재미있게 잘 읽었습니다
4.0,2024-04-27,선물로 산 책이에요
4.0,2024-04-23,평이 좋아서 읽기 시작했는데 글이 잔잔하고 힐링되서 반나절만에 다 읽었어요. 일상 생활에 있을법한 이야기들이 모여있어서 더 집중해서 빨리 읽었어요.
4.0,2024-04-21,에디션이라 표지가 예뻐요
4.0,2024-04-19,좋아요 흡입되어서읽었어요
4.0,2024-04-19,너무 재밌게 읽었어요
4.0,2024-04-19,힐링되는 따뜻한 책이예요~
4.0,2024-04-17,일상적이기에 이야기에 접근하기 쉽다.
4.0,2024-04-14,"작가님의 다룬 작품을 연극으로 먼저 본 후 
완전 팬이 되었었어요 
매력있는 인물들이 가득한 책!
힐링템입니다"
4.0,2024-04-09,소문은 익히 들었는데 읽으면서문체가 착착 감기네요
4.0,2024-04-09,미음이 따뜻해지는 글입니다. 강추입니다
4.0,2024-04-08,아이가 재미있게 읽었습니다
4.0,2024-04-06,엄마 드렸는데 다 읽으셨어요. 괜찮다고는 하세요.
4.0,2024-04-03,재미와 감동이 있는책~2편도 기대됩니다.
4.0,2024-04-02,킬링타임용으로 좋았습니다!!
4.0,2024-04-02,재밌게 보았습니다. 따뜻한 책이네요
4.0,2024-04-01,아기다리 고기다리던 책이에요~너무 읽고싶었어요
4.0,2024-03-31,아직 읽어보지 않았지만 시간이 나면 꼭 읽을게요.
4.0,2024-03-29,단숨에 읽었어요~~~
4.0,2024-03-28,마음이 따뜻해져요 하루만에 다 읽었네요
4.0,2024-03-28,전부터 읽어볼까 생각만하다 구매했습니다. 아직 읽고 있지만 재미도 있고 마음도 따뜻해지는거 같아요. 책은 비닐로 단단하게 고정이 되어서 상해서 도착할 일은 없겠어요. 잘 읽겠습니다~!
4.0,2024-03-25,쉽게 재미있게 읽을 수 있는 책이어서 좋아요~~
4.0,2024-03-18,너무나 읽고 싶었던 책을 드디어 구입하였습니다.
4.0,2024-03-18,내가 너무나 좋아하는 책이에요. 소중한~재밌어요
4.0,2024-03-18,재마있습니다   .
4.0,2024-03-17,딸이 초등학생이 되면 읽으라고 줄 예정입니다. 문장이 술술 읽혀요.
4.0,2024-03-17,"주문했습니다 
기대되네요"
4.0,2024-03-15,시간 가는 줄 모르고 재밌게 읽었어요^^
4.0,2024-03-13,엄마도 같이 읽었던 베스트 셀러
4.0,2024-03-12,"표지와 도서명을 보고 기억에 남았던 책인데
드디어 읽어봄.

어렵지 않게 술술 읽히면서, 공감도 힐링도 되며 머릿속에 장면이 상상 되는 소설이라 재밌게 읽었습니다."
4.0,2024-03-04,몇주째 베스트셀러라 구매했어요~ 재밌게 잘 읽히네요~^^
4.0,2024-03-04,"베스트 셀러라 구매했는데, 잘 읽히네요~ 아이도 재밌다고 합니다^^"
4.0,2024-03-03,
4.0,2024-03-01,가볍게 잘 읽었습니다.
4.0,2024-02-28,재밌어서 술술 읽혀요 ㅎㅎ
4.0,2024-02-27,아직 초입만 읽엇는데 재밋을것같아여
4.0,2024-02-26,"너무 재밌어서 금방 다 읽었습니다
그리고 선물로 몇권더 구매했구요"
4.0,2024-02-26,"쉽게 읽혀서 좋았습니다 
재밌게 읽어서 친구들에게 선물로 주려고 몇권 더 주문했네요"
4.0,2024-02-23,불편한 편의점 재미있어요
4.0,2024-02-21,"일단은 이틀만에 다 읽었어요
그리고 몰입도 너무 잘됩니다..!!! 감동도 받구 울컥 많이했어요 너무 따뜻한 책💕💕💕 작가님 사랑해요"
4.0,2024-02-21,모든 고단한 삶의 위로가 되는 듯해요
4.0,2024-02-21,모든 고단한 삶의 위로가 되는 듯해요
4.0,2024-02-20,포장이 꼼꼼히 되어서 배송왔어요! 만족합니다!!
4.0,2024-02-20,친구가 읽고 싶다해서 생일선물로 구매해줬어요!.
4.0,2024-02-18,재밌어요 2편도 바로읽어야겠ㄴ9요
4.0,2024-02-16,힐링 하기에 좋네요
4.0,2024-02-15,힐링되요~~~~~~~^^
4.0,2024-02-14,포장이 꼼꼼히 되어서 배송왔어요! 만족합니다!!
4.0,2024-02-13,재밌어요!! 힐링용으로 좋네요
4.0,2024-02-13,완전 재밌습니다 감동 그자체 보면서 엄청 울었어요
4.0,2024-02-08,2023 최고의 힐링도서. 읽고 위로받아서 친구들에게도 선물했어요^^
4.0,2024-02-08,"불편한편의전
독고씨"
4.0,2024-02-08,"오랜만에 읽은 소설책
하도 인기라고 sns에서 들썩거리길래 구매해봤다.
최근 뉴스에 비슷한 표지와 이름. 비슷한 내용의 책 출판이 많다더라, 구매할 때 조심해야겠다.

내용이라 해봐야 아주 평범하고 누구나 생각해봤을 법한 그런 내용이다.
하지만 그것 또한 언제 읽느냐에 따라 소소한 힐링이 될 수 있는 법.
어렵지 않은 내용이며 생각보다 흥미진진하여 일주일만에 뚝딱 읽은듯 하다"
3.0,2024-02-07,재미있게 읽었다.추천!
1.0,2024-02-07,"책 잘 읽었습니다. 불편했던 점은 술 마시는 기독교인을 표현한 문장들인데, 술은 취하지만 않으면 괜찮다고 합리화하는 건 문맥을 모르기 때문입니다. 당시 시대상황상 포도주는 지금의 물과 같았다는 점 알려드립니다. 혹여나 술 마시는 기독교인의 모습이 당연시 될까봐 짧은 글 남깁니다."
4.0,2024-02-07,소장용입니다 책이 예뻐서 맘에 들어요
4.0,2024-02-07,책 예쁜거 같아요 좋네요
4.0,2024-02-04,"구입해서 읽고 너무 재미있고, 유익하게 읽고, 또 한 권을 구입해서 선물했어요."
4.0,2024-02-01,추운 겨울에 따뜻하게 읽었습니다
4.0,2024-01-30,선물하기 위해 준비했어요. 시간이 지나 읽어도 잔잔한 감동이 있는 책입니다
4.0,2024-01-30,"마음에 들어요,추천!"
4.0,2024-01-29,재미 뿐만 아니라 잔잔한 감동까지 함께 주는 좋은 책이라고 생각합니다.
4.0,2024-01-29,편하게 읽을수 있어 선물하려 또 구매했어요
