date,rating,review
2025-12-30,10,"#연말리뷰 불편한 편의점은 덩치 큰 노숙인 출신 알바생 독고를 중심으로 편의점이라는 일상적인 공간이 어떻게 서로의 상처를 치유하는 기적의 장소로 변모하는지를 따뜻하고 유머러스하게 그려낸 수작입니다. 이야기는 알코올성 치매로 기억을 잃은 독고가 편의점 사장 염 여사의 지갑을 찾아준 인연으로 야간 알바를 시작하며 급물살을 탑니다. 말은 어눌하고 행동은 굼떠서 불편함 그 자체였던 이 사내는 의외의 진심과 툭 던지는 위로로 편의점을 찾는 이웃들의 마음을 하나둘 열기 시작합니다. 취업난에 허덕이는 20대 알바생, 생계가 고달픈 50대 아주머니, 혼술로 하루를 버티는 회사원까지 저마다의 사연을 안고 편의점에 들어선 이들은 독고가 건네는 옥수수수염차 한 잔과 투박한 말 한마디에 꽁꽁 얼어붙었던 마음을 녹입니다. 이 소설의 백미는 현실에 발을 붙인 생생한 캐릭터들입니다. 얄미운 아들부터 뒤를 캐는 사설탐정까지 제각기 다른 시선으로 독고를 바라보며 발생하는 오해와 반전은 유쾌한 폭소를 자아내고 어느 순간 코 끝을 찡하게 만드는 묵직한 감동을 선사합니다."
2025-12-27,10,"지하철에서 지갑을 잃어버린 염여사는 전화 한통을 받게 된다. 그는 자신이 지갑을 주웠고 서울역에 있다고 말했다. 지갑을 찾아 곧장 서울역으로 찾아간 염여사는 그곳에서 독고라는 노숙자를 만나게 된다. 자신의 지갑을 찾아준 독고에게 자신의 운영하는 편의점으로 데리고 가서 도시락을 건네 준다. 그렇게 매일같이 편의점에 도시락을 먹으러 온 독고를 위해 염여사는 편의점 야간 아르바이트를 제안한다. 그렇게 염여사의 편의점에서 일하게 된 독고는 함께 일하는 시현과 오여사는 독고의 행동에 차츰 마음을 열고 독고와 이야기를 들어주게 된다. 한편 독고는 자신의 잃어버린 기억을 되살리기 위해 노력한다. 한편 흥신소 곽은 독고를 조사하기 시작하고, 곽은 오히려 독고에 대해 의심이 아닌 연민으로 독고를 돕기 시작한다. 기억을 되찾은 독고는 가족들을 찾아 서울역에서 염 여사와의 인사를 끝으로 대구로 내려간다. #연말리뷰"
2025-12-17,10,처음 이책을 고를 땐 불편한 이란 말을 보고 불편한 일상을 담은 책인가? 싶었다. 하지만 편의점이란 말을 보고 불편한 과 편의점이란 단어의 조합이 낯설기도 하고 어울리는 것 같기도 했다. 그리고 그책을 펼치자 그곳은  염영숙 여사라는 사람이 기차를 탔을때 자신의 파우치에 지갑이 없어졌다는 것을 알았고 그때 서울역 공중 잔화로 추정 되는 곳에서 전화가 걸려왔고 염영숙 여사는 전화를 받고 서울역으로가 독고라는 사내를 만났다. 염여사는 지갑을 돌려 받고 몇일 간에 고민 끝의 그를 자신의 편의점의 고용 하기로 한다. 그렇게 고용된 독고가 손님들과 친해지고 선의 를 배풀고 편의점에서 일하면서 자신의 옛낦기억을 떠올리고 자신이 의사였단사실과 결혼을 했었고 수술 실패로 인해 딸과 부인이 그를 버리고 도망 갔단 사실을 천천히 떠올리게 되며 편의점을 그만 두면서 2권을 암시 하는듯 했다. 나의 느낌은 시현이 다른 편의점으로 간게 아쉽기도 하고 내심 기대도 된다. 그리고 유튜브는 어떻게 될지도 궁금 하다. 그리고 독고는 가족을 다시 찾았을지가 궁금하다 그럼 끝~~~ #연말리뷰
2025-12-10,10,#연말리뷰 올해가 가기전에 도서관에서 읽어보고 좋았던 책들을 소장하고 두고두고 또 읽으려고 구매하고 있어요 마침 특별 에디션으로 디자인도 바뀌고 예뻐서 만족합니다 다시 읽어도 막힘없이 쭉쭉 잘 읽히고 재미있네요 청소년 아이들이 읽어도 유용하고 재미있겠어요
2025-11-27,10,유명 베스트셀러 불편한 편의점을 읽어 보았다. 편의점을 운영하는 염여사는 어느날 서울역에서 지갑을 잃어버렸다. 노숙자 독고씨의 도움으로 지갑을 되찾고 노숙자 답지 않은 그의 정직한 모습에 편의점 야간 직원으로 채용하게 된다. 야간에 편의점에 들르는 고객들과 독고씨의 이야기가 펼쳐진다. 저마다의 사연과 결핍이 있지만 독고씨의 무심한듯한 챙김과 배려에 감동을 받는다. 독고씨는 알코올성 치매로 기억을 잃은 상태였는데 결국 자신의 과거를 기억해낸다. #쓰고빙고
2025-10-13,10,주인공 염여사는 서울역에서 지갑을 잃어버렸는데 노숙자인 독고씨의 도움으로 되찾습니다. 독고씨는 알코올성 치매를 앓아 과거의 기억이 없는 상태였는데 염여사의 배려로 편의점에서 야간 알바를 하게 됩니다. 독고씨는 편의점에 들르는 손님과 주변인들의 상황을 관심 있게 지켜보고 따뜻한 말 한마디를 건넵니다. 말 한마디에 감동 받고 깨달음을 얻는 그들을 보며 내 가족에게 관심을 주고 잘 챙겨야겠다 다짐해봅니다. #인생책독서모임
2025-09-13,10,책을 읽으며 삭막하고 각박한 요즘 세상에 사람 냄새가 풍기는거 같은 느낌이 들더라구요. 마음이 따뜻해지는 책이었습니다. 편의점이라는 주변에 쉽게 접할 수 있는 소재로 각각의 주인공이 처해있는 상황들이 연결되며 아주 흥미롭게 읽었습니다.
2025-09-13,10,"김호연이라는 작가를 알게 해준 첫 작품인데, 그의 문체와 스토리에 반해 다른 작품들도 읽어보게 되었다. 동네 편의점에서, 우리 사는  곳 바로 옆에서 일어날 수 있는 있을 법한 사람들의 세상 사는 이야기. 유쾌하면서도 여러가지 생각할꺼리를 주는 좋은 작품이다."
2025-08-29,10,사람들을 만나며 대하는 방법과 다양한 인물들의 감정과 사건이 일어나면서 지루할 틈이 없이 끝까지 재밌게 읽었다. 표지에 그림이 마음에 들어서 읽었던 책인데 책 내용도 표지만큼이나 마음에 들었다. 다음에 시간이 된다면 2권도 읽어 보고 싶다.
2025-08-25,10,따뜻한 사람들의 따뜻한 이야기가 담긴 소설이었다. 술술 후루룩 쉽게 읽히는 가독성 좋은 필체의 책인데 읽으면서 잔잔하지만 흡입력 있는 내용으로 집중이 잘 되어 금방 읽은 것 같다. 따뜻한 인생의 이야기가 있는 책을 읽고싶을 때 강력 추천하는 책이다!
